"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$11,904,365,412","0.98%","23.94","4.87","5.37","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$11,813,207,594","4.79%","6.36","1.36","1.04","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$11,686,985,597","3.12%","17.60","2.24","1.62","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$11,642,470,398","0.55%","23.44","4.13","3.01","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$11,570,930,815","0.98%","4.65","1.32","12.42","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$11,556,881,490","3.28%","14.29","1.07","1.98","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$11,556,399,814","0.00%","-6.30","0.40","3.45","Analyze"
"HAS","Hasbro Inc","Common stocks","Large cap","Consumer Discretionary","$11,505,393,002","3.28%","30.79","1.78","3.78","Analyze"
"SBNY","Signature Bank","Common stocks","Large cap","Financials","$11,411,052,873","1.19%","11.13","5.26","1.40","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$11,408,739,362","0.00%","26.16","3.14","4.23","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$11,250,591,995","0.57%","35.49","0.00","1.73","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Large cap","Communication Services","$11,043,361,617","9.10%","5.20","0.57","0.91","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$11,037,108,325","2.23%","8.18","0.96","1.15","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$11,022,597,292","3.95%","10.78","1.04","3.16","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$11,021,288,194","2.72%","18.09","1.00","3.56","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$10,941,133,879","0.00%","25.10","4.64","16.16","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$10,780,071,028","1.28%","45.71","2.73","27.31","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$10,567,787,286","0.00%","16.35","0.84","2.94","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$10,562,229,937","2.76%","12.60","2.26","2.48","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$10,455,577,792","1.33%","5.01","0.73","1.41","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$10,300,373,020","4.07%","13.04","8.62","1.68","Analyze"
"WRK","Westrock","Common stocks","Large cap","Materials","$10,211,918,358","2.45%","12.97","0.50","0.89","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$10,035,563,546","0.00%","9.71","2.16","2.20","Analyze"
"FTNT","Fortinet Inc","Common stocks","Mid cap","Information Technology","$9,997,629,470","0.00%","15.67","2.79","45.92","Analyze"
"GL","Globe Life Inc.","Common stocks","Mid cap","Financials","$9,910,245,997","0.80%","13.51","1.92","1.43","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Mid cap","Financials","$9,806,979,873","1.04%","40.49","14.22","9.58","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$9,705,029,986","3.62%","9.80","3.52","1.36","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$9,599,560,317","1.51%","6.91","0.94","1.86","Analyze"
"CCL","Carnival Corp","Common stocks","Mid cap","Consumer Discretionary","$9,372,875,236","0.00%","-0.96","2.67","0.88","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$9,263,146,322","2.85%","27.00","1.92","2.15","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$9,229,240,303","0.00%","26.36","3.48","3.85","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$9,153,280,780","1.93%","14.34","2.44","4.04","Analyze"
"NWS","News Corp Class B","Common stocks","Mid cap","Communication Services","$9,071,711,426","1.27%","6.19","0.89","0.37","Analyze"
"NWSA","News Corp Class A","Common stocks","Mid cap","Communication Services","$9,071,711,426","1.30%","11.99","0.89","0.71","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$9,001,370,298","3.88%","5.55","0.42","2.02","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$8,978,700,373","0.00%","2.25","0.51","0.31","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$8,898,133,500","3.55%","2.23","0.33","1.78","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$8,722,984,409","0.00%","-3.67","0.25","-0.98","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$8,643,386,097","2.15%","15.85","0.88","3.01","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$8,610,092,544","0.79%","7.31","0.67","1.16","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$8,595,223,619","1.56%","18.18","2.97","11.47","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,580,273,420","2.07%","12.98","1.25","5.86","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Mid cap","Industrials","$8,398,838,602","1.02%","16.89","2.39","2.46","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Mid cap","Consumer Discretionary","$8,309,025,915","0.00%","-1.60","3.26","2.13","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$8,293,935,753","3.38%","6.41","1.30","-6.67","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$8,285,908,756","1.40%","15.12","1.46","43.34","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$8,190,930,171","0.00%","-13.74","0.81","2.16","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$8,128,775,068","2.00%","12.30","0.55","1.17","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,076,187,545","4.65%","13.37","2.08","1.35","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$8,074,624,593","3.72%","6.40","0.42","0.56","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$8,069,503,818","1.74%","9.29","1.03","2.80","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$7,806,880,000","4.80%","10.89","0.73","1.96","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$7,775,657,278","3.21%","9.08","1.16","3.11","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Mid cap","Information Technology","$7,763,516,105","0.00%","-88.70","7.17","3.46","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$7,753,416,000","0.00%","8.85","0.67","9.47","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$7,733,941,608","2.20%","30.17","7.81","2.98","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,725,818,773","1.75%","14.10","1.98","3.05","Analyze"
"DXCM","Dexcom Inc","Common stocks","Mid cap","Health Care","$7,696,016,925","0.00%","36.35","2.99","3.52","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$7,650,147,131","0.00%","7.78","0.66","0.98","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,629,994,487","3.02%","7.75","2.76","1.21","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$7,489,096,087","1.35%","20.33","1.79","1.53","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$7,139,349,154","4.39%","5.47","1.04","0.47","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,719,700,882","0.00%","-10.79","0.40","1.38","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$6,710,625,533","3.03%","8.34","1.12","1.54","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$6,157,561,275","2.59%","5.07","0.65","-4.05","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$6,124,109,010","0.00%","-9.64","1.53","-18.83","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$5,504,955,598","7.23%","37.85","3.33","0.91","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$5,086,544,180","0.00%","11.31","0.72","1.45","Analyze"
"PENN","Penn National Gaming Inc","Common stocks","Mid cap","Consumer Discretionary","$4,892,326,300","0.00%","12.82","0.79","1.24","Analyze"
"PVH","PVH Corp","Common stocks","Mid cap","Consumer Discretionary","$3,776,574,400","0.20%","5.68","0.00","0.72","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$2,355,304,000","0.00%","-1.18","2.02","3.22","Analyze"
